IoC,Type
175.103.36.74,IP
cdnbenin.com,Domain
cfp-impactaction.com,Domain
majoor.co,Domain
major.co,Domain
novainways.com,Domain
restaurantalhes.com,Domain
zoominfopay.com,Domain
