Type,IoC
36117bdf2096b3233d78d889c44bcc59,FileHash1
416896dcc1d9a8975702d897535dd8c2,FileHash1
f280d678e83099db8c3539764d212ccf,FileHash1
5496517861f3d3b16759ff63d6c3a54250f0aa42ce7a0b989d2c4e223424fc62,FileHash3
6d6b506693dbc7a19d65771f9869361fd8b639e40012049411c43c418df73d45,FileHash3
790f3595850e4d8c212a35a40eb69fe0431fda6abcfbbf4592126bf636df2088,FileHash3
breachforums.co,Domain
breachforums.hn,Domain
breachforums.vc,Domain
cronos.li,Domain
shinyhunte.rs,Domain
cdn.breachforums.bf,Domain
escrow.breachforums.bf,Domain
